4/24/15 9:11 AM
Statistica del projecto

              	Segmentos	Parolas	Characteres (sin spatios)	Characteres (includente spatios)	#Files	
Total:        	     7985	  87562	                   475110	                          552481	    80	
Restante:     	     7869	  86541	                   469469	                          545934	    80	
Unic:         	     5559	  76278	                   405359	                          474656	    79	
Unic restante:	     5464	  75306	                   400061	                          468481	    79	


Statistica individual del file:

Nomine del file                                                        	Segmentos total	Segmentos cetere	Segmentos unic	Segmentos unic cetere	Parolas total	Parolas cetere	Parolas unic	Parolas unic cetere	Characteres total (sin spatios)	Characteres cetere (sin spatios)	Characteres unic (sin spatios)	Characteres unic cetere (sin spatios)	Characteres total (includente spatios)	Characteres cetere (includente spatios)	Characteres unic (includente spatios)	Characteres unic cetere (includente spatios)	
rinnovabili.odt                                                        	             43	              29	            43	                   29	         1517	          1213	        1517	               1213	                           7635	                            6025	                          7635	                                 6025	                                  9107	                                   7209	                                 9107	                                        7209	
Terrorism and Radiation_Understanding the Real Threat To Our Cities.odt	             23	              16	            23	                   16	         1562	          1385	        1562	               1385	                           8120	                            7226	                          8120	                                 7226	                                  9651	                                   8585	                                 9651	                                        8585	
version_3_beta\readme.txt                                              	            197	             197	           186	                  186	         1984	          1984	        1960	               1960	                          11403	                           11403	                         10790	                                10790	                                 13172	                                  13172	                                12547	                                       12547	
version_3_beta\InstantStartGuide.xml                                   	             27	              27	            27	                   27	          759	           759	         759	                759	                           3644	                            3644	                          3644	                                 3644	                                  4354	                                   4354	                                 4354	                                        4354	
version_3_beta\CustomMessages.ini                                      	              4	               4	             4	                    4	           45	            45	          45	                 45	                            231	                             231	                           231	                                  231	                                   272	                                    272	                                  272	                                         272	
version_3_beta\Bundle.properties                                       	            875	             875	           835	                  835	         4451	          4451	        4311	               4311	                          25161	                           25161	                         24336	                                24336	                                 28637	                                  28637	                                27713	                                       27713	
src\org\omegat\Bundle.properties                                       	            943	             943	           104	                  104	         4703	          4703	         446	                446	                          26706	                           26706	                          2568	                                 2568	                                 30349	                                  30349	                                 2889	                                        2889	
release\win32-specific\CustomMessages.ini                              	              4	               4	             0	                    0	           45	            45	           0	                  0	                            231	                             231	                             0	                                    0	                                   272	                                    272	                                    0	                                           0	
readme.utf8                                                            	            208	             208	            14	                   14	         2054	          2054	          83	                 83	                          11928	                           11928	                           682	                                  682	                                 13745	                                  13745	                                  723	                                         723	
OmegaT Website en\who_we_are.html                                      	             72	              72	            66	                   66	          311	           311	         298	                298	                           2086	                            2086	                          2020	                                 2020	                                  2308	                                   2308	                                 2235	                                        2235	
